URL,Key,Column,Response,Actual Result,Correct,Prompt,Context Response,Context Correct
https://en.wikipedia.org/wiki/2002_PGA_Tour,"Vijay Singh,Retief Goosen,Rich Beem",Position,Vijay Singh,Vijay Singh,1,"Which 'Player' has lower 'Position', 'Vijay Singh', 'Retief Goosen' or 'Rich Beem'?",,0
https://en.wikipedia.org/wiki/2003_AIHL_season,"Greg Oddy,Trevor Walsh,Dylan Martini",GP,Dylan Martini,Trevor Walsh,0,"Which 'Player' has lower 'GP', 'Greg Oddy', 'Trevor Walsh' or 'Dylan Martini'?",,0
https://en.wikipedia.org/wiki/2003_Australian_GT_Performance_Car_Championship,"Ross Almond,Stewart McColl,Trevor Haines",Position,Ross Almond,Trevor Haines,0,"Which 'Driver' has lower 'Position', 'Ross Almond', 'Stewart McColl' or 'Trevor Haines'?",,0
https://en.wikipedia.org/wiki/2003_Canadian_Tour,"Michelin Guadalajara Classic,Corona Ixtapa Classic,Northern Ontario Open",Purse (C$),Northern Ontario Open,Michelin Guadalajara Classic,0,"Which 'Tournament' has lower 'Purse (C$)', 'Michelin Guadalajara Classic', 'Corona Ixtapa Classic' or 'Northern Ontario Open'?",,0
https://en.wikipedia.org/wiki/2003_Jordanian_general_election,"Karak,Center Bedouin Tribes,Tafileh",Districts,Tafileh,Center Bedouin Tribes,0,"Which 'Governorate' has lower 'Districts', 'Karak', 'Center Bedouin Tribes' or 'Tafileh'?",,0
https://en.wikipedia.org/wiki/2003_PGA_Tour_of_Australasia,"Volvo Trucks Klassic,Schweppes SA PGA Championship,WA PGA Championship",Purse (A$),WA PGA Championship,Volvo Trucks Klassic,0,"Which 'Tournament' has lower 'Purse (A$)', 'Volvo Trucks Klassic', 'Schweppes SA PGA Championship' or 'WA PGA Championship'?",,0
https://en.wikipedia.org/wiki/2003_Rugby_World_Cup_statistics,"Joe Rokocoko,Will Greenwood,Chris Latham",Played,Will Greenwood,Chris Latham,0,"Which 'Player' has lower 'Played', 'Joe Rokocoko', 'Will Greenwood' or 'Chris Latham'?",,0
https://en.wikipedia.org/wiki/2004_Australian_federal_election,"Ex-Service, Service and Veterans Party,New Country Party,Democratic Labor Party",Total votes,New Country Party,Democratic Labor Party,0,"Which 'Minor party' has lower 'Total votes', 'Ex-Service, Service and Veterans Party', 'New Country Party' or 'Democratic Labor Party'?",,0
https://en.wikipedia.org/wiki/2004_Champions_Tour,"Ford Senior Players Championship,Greater Hickory Classic at Rock Barn,FedEx Kinko's Classic",Purse (US$),FedEx Kinko's Classic,Greater Hickory Classic at Rock Barn,0,"Which 'Tournament' has lower 'Purse (US$)', 'Ford Senior Players Championship', 'Greater Hickory Classic at Rock Barn' or 'FedEx Kinko's Classic'?",,0
https://en.wikipedia.org/wiki/2004_NCAA_Division_I_women%27s_basketball_tournament,"Arizona,Illinois,Louisiana",Bids,Louisiana,Arizona,0,"Which 'State' has lower 'Bids', 'Arizona', 'Illinois' or 'Louisiana'?",,0
https://en.wikipedia.org/wiki/2005_Armenian_Premier_League,"Shirak,Esteghlal-Kotayk,Mika Ashtarak",Capacity,Mika Ashtarak,Shirak,0,"Which 'Club' has lower 'Capacity', 'Shirak', 'Esteghlal-Kotayk' or 'Mika Ashtarak'?",,0
https://en.wikipedia.org/wiki/2005_Supercheap_Auto_1000,"3,10,7",No.,7,7,1,"Which 'Pos.' has lower 'No.', '3', '10' or '7'?",,0
https://en.wikipedia.org/wiki/2006%E2%80%9307_snooker_season,"Ken Doherty,Ali Carter,Stephen Hendry",Points 2005/06,Ali Carter,Ali Carter,1,"Which 'Player' has lower 'Points 2005/06', 'Ken Doherty', 'Ali Carter' or 'Stephen Hendry'?",,0
https://en.wikipedia.org/wiki/2006_Champions_Tour,"Commerce Bank Championship,JELD-WEN Tradition,The Senior British Open Championship",Purse (US$),Commerce Bank Championship,Commerce Bank Championship,1,"Which 'Tournament' has lower 'Purse (US$)', 'Commerce Bank Championship', 'JELD-WEN Tradition' or 'The Senior British Open Championship'?",,0
https://en.wikipedia.org/wiki/2006_Euro_Beach_Soccer_League_%E2%80%93_Last_chance_bracket,"Ukraine,Montenegro,Hungary",Rank,Hungary,Montenegro,0,"Which 'Team' has lower 'Rank', 'Ukraine', 'Montenegro' or 'Hungary'?",,0
https://en.wikipedia.org/wiki/2006_Kerrick_Sports_Sedan_Series,"Geoff Gillespie,Chris Jackson,Mark Nelson",Position,Geoff Gillespie,Chris Jackson,0,"Which 'Driver' has lower 'Position', 'Geoff Gillespie', 'Chris Jackson' or 'Mark Nelson'?",,0
https://en.wikipedia.org/wiki/2007%E2%80%9308_snooker_season,"Mark Selby,Marco Fu,Ryan Day",Ch,Ryan Day,Mark Selby,0,"Which 'Player' has lower 'Ch', 'Mark Selby', 'Marco Fu' or 'Ryan Day'?",,0
https://en.wikipedia.org/wiki/2007_Champions_Tour,"Bank of America Championship,Boeing Classic,The Senior Open Championship",Purse (US$),Bank of America Championship,Boeing Classic,0,"Which 'Tournament' has lower 'Purse (US$)', 'Bank of America Championship', 'Boeing Classic' or 'The Senior Open Championship'?",,0
https://en.wikipedia.org/wiki/2007_League_of_Ireland_Premier_Division,"Cork City,Derry City,Drogheda United",Capacity,Drogheda United,Drogheda United,1,"Which 'Team' has lower 'Capacity', 'Cork City', 'Derry City' or 'Drogheda United'?",,0
https://en.wikipedia.org/wiki/2008%E2%80%9309_Ukrainian_Premier_League,"Shakhtar Donetsk,Tavriya Simferopol,Zorya Luhansk",Rank,Shakhtar Donetsk,Shakhtar Donetsk,1,"Which 'Club' has lower 'Rank', 'Shakhtar Donetsk', 'Tavriya Simferopol' or 'Zorya Luhansk'?",,0
https://en.wikipedia.org/wiki/2008%E2%80%9309_snooker_season,"John Higgins,Peter Ebdon,Marco Fu",Ch,Marco Fu,John Higgins,0,"Which 'Player' has lower 'Ch', 'John Higgins', 'Peter Ebdon' or 'Marco Fu'?",,0
https://en.wikipedia.org/wiki/2008_Champions_Tour,"Bank of America Championship,Boeing Classic,The Senior Open Championship",Purse (US$),Bank of America Championship,Bank of America Championship,1,"Which 'Tournament' has lower 'Purse (US$)', 'Bank of America Championship', 'Boeing Classic' or 'The Senior Open Championship'?",,0
https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_New_Hampshire,"H. Neal Fendig Jr.,James Creighton Mitchell Jr.,Rudy Giuliani",Votes,H. Neal Fendig Jr.,H. Neal Fendig Jr.,1,"Which 'Candidate' has lower 'Votes', 'H. Neal Fendig Jr.', 'James Creighton Mitchell Jr.' or 'Rudy Giuliani'?",,0
https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Washington_(state),"Total,Mitt Romney*,Alan Keyes",Votes,Alan Keyes,Alan Keyes,1,"Which 'Candidate' has lower 'Votes', 'Total', 'Mitt Romney*' or 'Alan Keyes'?",,0
https://en.wikipedia.org/wiki/2008_Washington_Republican_presidential_caucuses_and_primary,"Total,Mitt Romney*,Alan Keyes",Votes,Alan Keyes,Alan Keyes,1,"Which 'Candidate' has lower 'Votes', 'Total', 'Mitt Romney*' or 'Alan Keyes'?",,0
https://en.wikipedia.org/wiki/2009%E2%80%9310_snooker_season,"Ali Carter,Marco Fu,Mark Williams",Ch,Marco Fu,Ali Carter,0,"Which 'Player' has lower 'Ch', 'Ali Carter', 'Marco Fu' or 'Mark Williams'?",,0
https://en.wikipedia.org/wiki/2010%E2%80%9311_Pakistan_federal_budget,"Net Revenue Receipt,Bank Borrowing,Self Financing of PSDP by provinces",Rs. in Billion,439,Bank Borrowing,0,"Which 'Receipts' has lower 'Rs. in Billion', 'Net Revenue Receipt', 'Bank Borrowing' or 'Self Financing of PSDP by provinces'?",,0
https://en.wikipedia.org/wiki/2010%E2%80%932014_NCAA_conference_realignment,"Horizon,Patriot,Northeast",Old membership total,Northeast,Patriot,0,"Which 'Conference' has lower 'Old membership total', 'Horizon', 'Patriot' or 'Northeast'?",,0
https://en.wikipedia.org/wiki/2010_Australian_GT_Championship,"Maranello Motorsport,Jocaro Motorsport,Pariah Motorsport",No,3,Jocaro Motorsport,0,"Which 'Team' has lower 'No', 'Maranello Motorsport', 'Jocaro Motorsport' or 'Pariah Motorsport'?",,0
https://en.wikipedia.org/wiki/2010_Champions_Tour,"Home Care & Hospice First Tee Open at Pebble Beach,The Senior Open Championship,Boeing Classic",Purse (US$),"1,800,000",Home Care & Hospice First Tee Open at Pebble Beach,0,"Which 'Tournament' has lower 'Purse (US$)', 'Home Care & Hospice First Tee Open at Pebble Beach', 'The Senior Open Championship' or 'Boeing Classic'?",,0
https://en.wikipedia.org/wiki/2011%E2%80%9312_South_African_Premiership,"Black Leopards,Platinum Stars,Jomo Cosmos",Capacity,Jomo Cosmos,Jomo Cosmos,1,"Which 'Team' has lower 'Capacity', 'Black Leopards', 'Platinum Stars' or 'Jomo Cosmos'?",,0
https://en.wikipedia.org/wiki/2011_Alps_Tour,"Chris Paisley,Jordan Gibb,Romain Schneider",Position,Chris Paisley,Chris Paisley,1,"Which 'Player' has lower 'Position', 'Chris Paisley', 'Jordan Gibb' or 'Romain Schneider'?",,0
https://en.wikipedia.org/wiki/2011_Australian_GT_Championship,"Andrew Taplin,Greg Crick,Nathan Tinkler",No,Andrew Taplin,Andrew Taplin,1,"Which 'Driver' has lower 'No', 'Andrew Taplin', 'Greg Crick' or 'Nathan Tinkler'?",,0
https://en.wikipedia.org/wiki/2011_Big_Easy_Tour,"Observatory Golf Club,Glendower Golf Club,Kempton Park Golf Club",Purse (R),Kempton Park Golf Club,Observatory Golf Club,0,"Which 'Tournament' has lower 'Purse (R)', 'Observatory Golf Club', 'Glendower Golf Club' or 'Kempton Park Golf Club'?",,0
https://en.wikipedia.org/wiki/2011_Challenge_Trophy,"Toronto Celtic,Holy Cross,Suburban FC",Place,Holy Cross,Toronto Celtic,0,"Which 'Team' has lower 'Place', 'Toronto Celtic', 'Holy Cross' or 'Suburban FC'?",,0
https://en.wikipedia.org/wiki/2011_Champions_Tour,"Nature Valley First Tee Open at Pebble Beach,Boeing Classic,Toshiba Classic",Purse (US$),Nature Valley First Tee Open at Pebble Beach,Nature Valley First Tee Open at Pebble Beach,1,"Which 'Tournament' has lower 'Purse (US$)', 'Nature Valley First Tee Open at Pebble Beach', 'Boeing Classic' or 'Toshiba Classic'?",,0
https://en.wikipedia.org/wiki/2011_Korean_Tour,"Volvik Gunsan CC Open,Kolon Korea Open,Dongbu Insurance Promy Open",OWGR points,Volvik Gunsan CC Open,Volvik Gunsan CC Open,1,"Which 'Tournament' has lower 'OWGR points', 'Volvik Gunsan CC Open', 'Kolon Korea Open' or 'Dongbu Insurance Promy Open'?",,0
https://en.wikipedia.org/wiki/2011_LSU_vs._Alabama_football_game,"Michael Brockers,Mark Barron,Michael Williams",Year,Mark Barron,Michael Brockers,0,"Which 'Player name' has lower 'Year', 'Michael Brockers', 'Mark Barron' or 'Michael Williams'?",,0
https://en.wikipedia.org/wiki/2012%E2%80%9313_South_African_Premiership,"Black Leopards,Platinum Stars,Golden Arrows",Capacity,Black Leopards,Golden Arrows,0,"Which 'Team' has lower 'Capacity', 'Black Leopards', 'Platinum Stars' or 'Golden Arrows'?",,0
https://en.wikipedia.org/wiki/2012_Big_Easy_Tour,"Modderfontein,Kempton Park,ERPM",Purse (R),ERPM,Modderfontein,0,"Which 'Tournament' has lower 'Purse (R)', 'Modderfontein', 'Kempton Park' or 'ERPM'?",,0
https://en.wikipedia.org/wiki/2012_Champions_Tour,"Nature Valley First Tee Open at Pebble Beach,Boeing Classic,Toshiba Classic",Purse (US$),Nature Valley First Tee Open at Pebble Beach,Nature Valley First Tee Open at Pebble Beach,1,"Which 'Tournament' has lower 'Purse (US$)', 'Nature Valley First Tee Open at Pebble Beach', 'Boeing Classic' or 'Toshiba Classic'?",,0
https://en.wikipedia.org/wiki/2012_Nordic_Golf_League,"Jens Fahrbring,Victor Hielte,Niclas Johansson",Position,Jens Fahrbring,Jens Fahrbring,1,"Which 'Player' has lower 'Position', 'Jens Fahrbring', 'Victor Hielte' or 'Niclas Johansson'?",,0
https://en.wikipedia.org/wiki/2012_St._Louis_Cardinals_season,"In error-made games,One or Two-run games,Extra innings",Pct.,In error-made games,Extra innings,0,"Which 'Situation' has lower 'Pct.', 'In error-made games', 'One or Two-run games' or 'Extra innings'?",,0
https://en.wikipedia.org/wiki/2012_Supercheap_Auto_Bathurst_1000,"Shane van Gisbergen,Steve Owen,Tim Slade",Position,Shane van Gisbergen,Shane van Gisbergen,1,"Which 'Driver' has lower 'Position', 'Shane van Gisbergen', 'Steve Owen' or 'Tim Slade'?",,0
https://en.wikipedia.org/wiki/2012_Web.com_Tour,"Midwest Classic,Nationwide Children's Hospital Invitational,News Sentinel Open",Purse (US$),600000,News Sentinel Open,0,"Which 'Tournament' has lower 'Purse (US$)', 'Midwest Classic', 'Nationwide Children's Hospital Invitational' or 'News Sentinel Open'?",,0
https://en.wikipedia.org/wiki/2012_Zimbabwe_Premier_Soccer_League,"CAPS United,Motor Action,Gunners",Capacity,Gunners,Motor Action,0,"Which 'Team' has lower 'Capacity', 'CAPS United', 'Motor Action' or 'Gunners'?",,0
https://en.wikipedia.org/wiki/2013%E2%80%9314_South_African_Premiership,"Bloemfontein Celtic,Polokwane City,Mamelodi Sundowns",Capacity,Polokwane City,Bloemfontein Celtic,0,"Which 'Team' has lower 'Capacity', 'Bloemfontein Celtic', 'Polokwane City' or 'Mamelodi Sundowns'?",,0
https://en.wikipedia.org/wiki/2013%E2%80%9314_Ukrainian_First_League,"FC Poltava,Tytan Armyansk,Helios Kharkiv",Rank,FC Poltava,Tytan Armyansk,0,"Which 'Club' has lower 'Rank', 'FC Poltava', 'Tytan Armyansk' or 'Helios Kharkiv'?",,0
https://en.wikipedia.org/wiki/2013_Australian_Carrera_Cup_Championship,"Stephen Grove,Paul Kelly,James Bergmuller",Pos.,James Bergmuller,Stephen Grove,0,"Which 'Driver' has lower 'Pos.', 'Stephen Grove', 'Paul Kelly' or 'James Bergmuller'?",,0
https://en.wikipedia.org/wiki/2013_Big_Easy_Tour,"Centurion CC,Kempton Park GC,Irene CC",Purse (R),Kempton Park GC,Centurion CC,0,"Which 'Tournament' has lower 'Purse (R)', 'Centurion CC', 'Kempton Park GC' or 'Irene CC'?",,0
https://en.wikipedia.org/wiki/2013_MENA_Golf_Tour,"Dubai Creek Open,MENA Golf Tour Championship,Abu Dhabi Golf Citizen Open",Purse (US$),Abu Dhabi Golf Citizen Open,Dubai Creek Open,0,"Which 'Tournament' has lower 'Purse (US$)', 'Dubai Creek Open', 'MENA Golf Tour Championship' or 'Abu Dhabi Golf Citizen Open'?",,0
https://en.wikipedia.org/wiki/2013_PGA_Tour,"Steve Stricker,Justin Rose,Jordan Spieth",Position,Justin Rose,Steve Stricker,0,"Which 'Player' has lower 'Position', 'Steve Stricker', 'Justin Rose' or 'Jordan Spieth'?",,0
https://en.wikipedia.org/wiki/2013_Pro_Golf_Tour,"Robin Kind,Anton Kirstein,Richard Kind",Position,Robin Kind,Robin Kind,1,"Which 'Player' has lower 'Position', 'Robin Kind', 'Anton Kirstein' or 'Richard Kind'?",,0
https://en.wikipedia.org/wiki/2013_Q_School,"Gareth Green,Josh Boileau,Ashley Carty",Rank,Ashley Carty,Gareth Green,0,"Which 'Player' has lower 'Rank', 'Gareth Green', 'Josh Boileau' or 'Ashley Carty'?",,0
https://en.wikipedia.org/wiki/2013_Zimbabwe_Premier_Soccer_League,"CAPS United,Shabanie Mine,Harare City",Capacity,Shabanie Mine,Shabanie Mine,1,"Which 'Team' has lower 'Capacity', 'CAPS United', 'Shabanie Mine' or 'Harare City'?",,0
https://en.wikipedia.org/wiki/2014%E2%80%9315_PGA_Tour,"Jason Day,Charley Hoffman,Dustin Johnson",Position,Dustin Johnson,Jason Day,0,"Which 'Player' has lower 'Position', 'Jason Day', 'Charley Hoffman' or 'Dustin Johnson'?",,0
https://en.wikipedia.org/wiki/2014%E2%80%9315_South_African_Premiership,"Bloemfontein Celtic,Polokwane City,Mamelodi Sundowns",Capacity,Polokwane City,Bloemfontein Celtic,0,"Which 'Team' has lower 'Capacity', 'Bloemfontein Celtic', 'Polokwane City' or 'Mamelodi Sundowns'?",,0
https://en.wikipedia.org/wiki/2014_PGA_Tour_Canada,"Syncrude Boreal Open,SIGA Dakota Dunes Open,The Players Cup",Purse (C$),The Players Cup,Syncrude Boreal Open,0,"Which 'Tournament' has lower 'Purse (C$)', 'Syncrude Boreal Open', 'SIGA Dakota Dunes Open' or 'The Players Cup'?",,0
https://en.wikipedia.org/wiki/2014_Pro_Golf_Tour,"Sean Einhaus,Moritz Lampert,Anton Kirstein",Position,Moritz Lampert,Sean Einhaus,0,"Which 'Player' has lower 'Position', 'Sean Einhaus', 'Moritz Lampert' or 'Anton Kirstein'?",,0
https://en.wikipedia.org/wiki/2014_Q_School,"Alex Pagulayan,Duane Jones,Chen Zhe",Event 1,Duane Jones,Chen Zhe,0,"Which 'Player' has lower 'Event 1', 'Alex Pagulayan', 'Duane Jones' or 'Chen Zhe'?",,0
https://en.wikipedia.org/wiki/2015%E2%80%9316_PGA_Tour,"Patrick Reed,Russell Knox,Ryan Moore",Position,7,Patrick Reed,0,"Which 'Player' has lower 'Position', 'Patrick Reed', 'Russell Knox' or 'Ryan Moore'?",,0
https://en.wikipedia.org/wiki/2015%E2%80%9316_Saudi_Pro_League,"Round 18,Round 15,Round 19",GP.,Round 19,Round 18,0,"Which 'Round' has lower 'GP.', 'Round 18', 'Round 15' or 'Round 19'?",,0
https://en.wikipedia.org/wiki/2015%E2%80%9316_South_African_Premiership,"Chippa United,Polokwane City,Kaizer Chiefs",Capacity,Chippa United,Polokwane City,0,"Which 'Team' has lower 'Capacity', 'Chippa United', 'Polokwane City' or 'Kaizer Chiefs'?",,0
https://en.wikipedia.org/wiki/2015_Alps_Tour,"Damien Perrier,Gerard Piris,Andrea Maestroni",Position,Andrea Maestroni,Damien Perrier,0,"Which 'Player' has lower 'Position', 'Damien Perrier', 'Gerard Piris' or 'Andrea Maestroni'?",,0
https://en.wikipedia.org/wiki/2015_MERS_outbreak_in_South_Korea,"28 July 2015 ~ 24 October 2015,19 June 2015,25 October 2015",Cases*1*2,19 June 2015,19 June 2015,1,"Which 'Date' has lower 'Cases*1*2', '28 July 2015 ~ 24 October 2015', '19 June 2015' or '25 October 2015'?",,0
